Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
Indiana Pacers,38,44,.463,16.0,104.6,105.4,-0.18,,1988
,54,28,.659,—,116.7,112.7,3.32,Denver Nuggets*,1988
,53,29,.646,1.0,109.3,104.9,3.59,Dallas Mavericks*,1988
,47,35,.573,7.0,108.5,104.8,2.96,Utah Jazz*,1988
,46,36,.561,8.0,109.0,107.6,0.82,Houston Rockets*,1988
,31,51,.378,23.0,113.6,118.5,-5.02,San Antonio Spurs*,1988
,24,58,.293,30.0,108.0,113.7,-5.84,Sacramento Kings,1988
,62,20,.756,—,112.8,107.0,4.81,Los Angeles Lakers*,1988
,53,29,.646,9.0,116.1,111.5,3.59,Portland Trail Blazers*,1988
,44,38,.537,18.0,111.4,109.3,1.29,Seattle SuperSonics*,1988
,28,54,.341,34.0,108.5,113.0,-4.80,Phoenix Suns,1988
,20,62,.244,42.0,107.0,115.3,-8.38,Golden State Warriors,1988
,17,65,.207,45.0,98.8,109.1,-10.24,Los Angeles Clippers,1988
New York Knicks*,52,30,.634,—,116.7,112.9,3.62,,1989
Philadelphia 76ers*,46,36,.561,6.0,111.9,110.4,1.68,,1989
Boston Celtics*,42,40,.512,10.0,109.2,108.1,1.26,,1989
Washington Bullets,40,42,.488,12.0,108.3,110.4,-1.77,,1989
New Jersey Nets,26,56,.317,26.0,103.7,110.1,-5.69,,1989
Charlotte Hornets,20,62,.244,32.0,104.5,113.0,-7.74,,1989
Detroit Pistons*,63,19,.768,—,106.6,100.8,6.24,,1989
Cleveland Cavaliers*,57,25,.695,6.0,108.8,101.2,7.95,,1989
Atlanta Hawks*,52,30,.634,11.0,111.0,106.1,5.26,,1989
Milwaukee Bucks*,49,33,.598,14.0,108.9,105.3,4.11,,1989
Chicago Bulls*,47,35,.573,16.0,106.4,105.0,2.13,,1989
Indiana Pacers,28,54,.341,35.0,106.9,111.1,-3.00,,1989
,51,31,.622,—,104.7,99.7,4.01,Utah Jazz*,1989
,45,37,.549,6.0,108.5,107.5,0.22,Houston Rockets*,1989
,44,38,.537,7.0,118.0,116.3,0.91,Denver Nuggets*,1989
,38,44,.463,13.0,103.5,104.7,-1.79,Dallas Mavericks,1989
,21,61,.256,30.0,105.5,112.8,-7.45,San Antonio Spurs,1989
,15,67,.183,36.0,97.8,109.0,-11.13,Miami Heat,1989
,57,25,.695,—,114.7,107.5,6.38,Los Angeles Lakers*,1989
,55,27,.671,2.0,118.6,110.9,6.84,Phoenix Suns*,1989
